event_id,intention_id,event_date,event_type,hours_spent,note,title,category_name,status
1,172,2023-08-05,RESEARCHED,0.6,,Call an old friend,Relationships,OPEN/STALLED
2,21,2024-05-20,CREATED,0.0,,Start meditating daily,Fitness & Health,OPEN/STALLED
3,309,2025-04-18,POSTPONED,0.0,Lack of time,Plan a weekend getaway,Travel,OPEN/STALLED
4,33,2025-06-12,CREATED,0.0,,Compare insurance providers,Financial,OPEN/STALLED
5,287,2024-10-29,CREATED,0.0,,Plan a road trip route,Travel,ABANDONED
6,61,2024-12-04,RESEARCHED,0.2,,Learn basic calligraphy,Hobby,COMPLETED
7,157,2025-06-13,COMPLETED,0.0,,Research a relocation destination,Travel,COMPLETED
8,266,2023-12-31,RESEARCHED,0.3,,Pay off a small debt,Financial,OPEN/STALLED
9,185,2024-09-11,RESEARCHED,1.6,,Start a photography project,Creative,COMPLETED
10,241,2023-05-27,ABANDONED,0.0,Unclear next step,Start journaling regularly,Hobby,ABANDONED
11,60,2024-04-02,CONTINUED,1.9,,Start a photography project,Creative,REPLACED
12,170,2024-02-06,CONTINUED,2.4,,Research a relocation destination,Travel,ABANDONED
13,282,2023-08-29,COMPLETED,0.0,,Learn to cook healthier meals,Fitness & Health,COMPLETED
14,207,2025-05-22,RESEARCHED,0.0,,Collect and organize a hobby set,Hobby,OPEN/STALLED
15,77,2025-07-15,POSTPONED,0.0,Unclear next step,Reorganize the wardrobe,Home & Admin,OPEN/STALLED
16,168,2024-01-14,RESEARCHED,1.0,,Learn conversational Spanish,Learning & Skills,ABANDONED
17,291,2024-07-15,COMPLETED,0.0,,FIX A RECURRING HOUSEHOLD ISSUE,Home & Admin,COMPLETED
18,32,2024-05-01,CREATED,0.0,,Learn to cook healthier meals,Fitness & Health,OPEN/STALLED
19,26,2024-10-31,CONTINUED,1.5,,Ask for a performance review,Career,ABANDONED
20,20,2025-04-10,CONTINUED,2.9,,Start a small garden,Hobby,COMPLETED
21,11,2025-05-25,CREATED,0.0,,CREATE A MONTHLY BUDGET,Financial,OPEN/STALLED
22,88,2024-08-17,RESEARCHED,1.5,,Reduce screen time before bed,Fitness & Health,OPEN/STALLED
23,112,2024-09-18,STARTED,0.0,,JOIN A LOCAL SOCIAL GROUP,Relationships,OPEN/STALLED
24,31,2024-05-19,RESEARCHED,0.5,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
25,306,2024-04-15,CONTINUED,0.7,,Plan a road trip route,Travel,COMPLETED
26,68,2025-05-27,RESEARCHED,0.4,,Start a niche newsletter,Side Project,OPEN/STALLED
27,212,2023-10-14,CONTINUED,2.5,,Write a long-overdue message,Relationships,OPEN/STALLED
28,258,2024-01-14,CREATED,0.0,,Renew an expiring document,Home & Admin,ABANDONED
29,223,2024-02-11,RESEARCHED,7.8,,Schedule regular calls with family,Relationships,COMPLETED
30,137,2023-05-19,POSTPONED,0.0,Competing priorities,Plan a solo trip,Travel,OPEN/STALLED
31,299,2023-03-02,STARTED,0.0,,Build an automation script,Side Project,OPEN/STALLED
32,268,2025-07-16,COMPLETED,0.0,,Build a personal dashboard,Side Project,COMPLETED
33,209,2025-01-12,RESEARCHED,0.9,,Start a puzzle-solving habit,Hobby,OPEN/STALLED
34,74,2025-04-26,RESEARCHED,1.2,,Build an emergency fund,Financial,OPEN/STALLED
35,49,2024-02-12,CONTINUED,0.0,,Set up automatic savings,Financial,COMPLETED
36,17,2023-05-07,RESEARCHED,1.3,,Send a thank-you note,Relationships,ABANDONED
37,254,2023-03-29,POSTPONED,0.0,Overestimated effort required,Start a puzzle-solving habit,Hobby,COMPLETED
38,49,2023-11-29,PLANNED,0.0,,Set up automatic savings,Financial,COMPLETED
39,122,2024-02-13,RESEARCHED,1.8,,Start a small garden,Hobby,OPEN/STALLED
40,60,2024-02-10,CONTINUED,0.6,,Start a photography project,Creative,REPLACED
41,196,2025-04-10,RESEARCHED,1.1,,Ask for a performance review,Career,REPLACED
42,158,2024-08-02,RESEARCHED,1.9,,Plan a family visit,Relationships,ABANDONED
43,30,2023-10-28,PLANNED,0.0,,Finish a painting series,Creative,COMPLETED
44,273,2025-05-31,RESEARCHED,0.4,,Collect and organize a hobby set,Hobby,OPEN/STALLED
45,101,2024-10-05,RESEARCHED,1.3,,Start a niche newsletter,Side Project,ABANDONED
46,189,2024-04-21,RESEARCHED,0.7,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
47,7,2023-05-26,RESEARCHED,1.5,,Study for a certification exam,Learning & Skills,ABANDONED
48,57,2025-04-02,RESEARCHED,1.0,,Research visa requirements,Travel,ABANDONED
49,1,2025-02-19,RESEARCHED,4.6,,Learn SQL properly,Learning & Skills,OPEN/STALLED
50,277,2023-08-28,COMPLETED,0.0,,Build a personal dashboard,Side Project,COMPLETED
51,199,2024-06-05,RESEARCHED,0.2,,Try a new recipe every week,Hobby,ABANDONED
52,159,2023-05-12,STARTED,0.0,,Train for a 5k run,Fitness & Health,COMPLETED
53,101,2025-05-01,ABANDONED,0.0,Lack of motivation,Start a niche newsletter,Side Project,ABANDONED
54,18,2024-03-05,RESEARCHED,0.4,,Learn a new design software,Creative,ABANDONED
55,222,2023-06-21,CONTINUED,1.3,,Research a relocation destination,Travel,REPLACED
56,209,2024-12-20,RESEARCHED,0.9,,Start a puzzle-solving habit,Hobby,OPEN/STALLED
57,225,2024-02-22,CREATED,0.0,,Plan a road trip route,Travel,REPLACED
58,38,2023-02-02,CREATED,0.0,,WRITE SHORT STORIES WEEKLY,Creative,OPEN/STALLED
59,39,2023-11-27,RESEARCHED,1.6,,Start a freelance side gig,Side Project,COMPLETED
60,316,2024-06-11,ABANDONED,0.0,Low energy / burnout,Plan a family visit,Relationships,ABANDONED
61,91,2024-04-13,CONTINUED,1.8,,Start going to the gym 3x/week,Fitness & Health,COMPLETED
62,306,2023-12-14,STARTED,0.0,,Plan a road trip route,Travel,COMPLETED
63,222,2023-07-02,REPLACED,0.0,Replaced by a different priority,Research a relocation destination,Travel,REPLACED
64,69,2023-06-22,CONTINUED,8.3,,Call an old friend,Relationships,REPLACED
65,180,2025-03-02,CREATED,0.0,,Learn to use Power BI,Learning & Skills,OPEN/STALLED
66,162,2025-06-29,CREATED,0.0,,START A HOUSEPLANT COLLECTION,Hobby,OPEN/STALLED
67,60,2024-01-18,CONTINUED,0.4,,Start a photography project,Creative,REPLACED
68,260,2023-02-28,RESEARCHED,0.2,,Start meditating daily,Fitness & Health,ABANDONED
69,20,2025-02-08,CONTINUED,2.9,,Start a small garden,Hobby,COMPLETED
70,41,2025-07-05,POSTPONED,0.0,Blocked by dependency,Try a new craft technique,Creative,OPEN/STALLED
71,214,2025-06-17,CONTINUED,0.3,,Plan a weekend getaway,Travel,COMPLETED
72,244,2025-07-19,RESEARCHED,0.7,,Schedule regular calls with family,Relationships,OPEN/STALLED
73,232,2025-04-15,PLANNED,0.0,,Renew an expiring document,Home & Admin,OPEN/STALLED
74,26,2024-07-20,STARTED,0.0,,Ask for a performance review,Career,ABANDONED
75,77,2025-07-27,STARTED,0.0,,Reorganize the wardrobe,Home & Admin,OPEN/STALLED
76,309,2025-06-24,CONTINUED,6.1,,Plan a weekend getaway,Travel,OPEN/STALLED
77,281,2023-12-07,RESEARCHED,3.0,,Start a reading challenge,Hobby,OPEN/STALLED
78,200,2025-01-20,CONTINUED,0.3,,Start sketching daily,Creative,ABANDONED
79,28,2024-11-08,RESEARCHED,4.2,,Start a small blog,Side Project,ABANDONED
80,11,2025-07-06,STARTED,0.0,,CREATE A MONTHLY BUDGET,Financial,OPEN/STALLED
81,197,2024-02-02,CONTINUED,2.9,,Write a long-overdue message,Relationships,COMPLETED
82,173,2023-07-28,CREATED,0.0,,Plan a solo trip,Travel,COMPLETED
83,196,2025-03-26,CREATED,0.0,,Ask for a performance review,Career,REPLACED
84,296,2023-06-07,RESEARCHED,1.3,,Compare insurance providers,Financial,ABANDONED
85,50,2023-11-17,RESEARCHED,3.1,,Train for a 5k run,Fitness & Health,OPEN/STALLED
86,252,2025-06-07,RESEARCHED,0.7,,Complete a data visualization course,Learning & Skills,OPEN/STALLED
87,173,2023-08-01,RESEARCHED,0.3,,Plan a solo trip,Travel,COMPLETED
88,254,2023-04-22,STARTED,0.0,,Start a puzzle-solving habit,Hobby,COMPLETED
89,82,2023-09-18,CREATED,0.0,,Organize a small get-together,Relationships,OPEN/STALLED
90,200,2024-11-21,POSTPONED,0.0,Unclear next step,Start sketching daily,Creative,ABANDONED
91,319,2025-05-05,CREATED,0.0,,RESEARCH INVESTMENT OPTIONS,Financial,OPEN/STALLED
92,279,2023-06-06,CREATED,0.0,,Start meditating daily,Fitness & Health,OPEN/STALLED
93,285,2024-12-06,RESEARCHED,0.3,,Finish an online Python course,Learning & Skills,OPEN/STALLED
94,168,2023-12-04,CREATED,0.0,,Learn conversational Spanish,Learning & Skills,ABANDONED
95,185,2024-08-08,CREATED,0.0,,Start a photography project,Creative,COMPLETED
96,142,2025-01-26,CREATED,0.0,,Start a photography project,Creative,OPEN/STALLED
97,197,2023-10-10,RESEARCHED,2.7,,Write a long-overdue message,Relationships,COMPLETED
98,30,2023-11-23,STARTED,0.0,,Finish a painting series,Creative,COMPLETED
99,9,2024-07-19,CREATED,0.0,,Plan a family visit,Relationships,COMPLETED
100,60,2023-11-26,PLANNED,0.0,,Start a photography project,Creative,REPLACED
101,108,2025-05-04,CONTINUED,0.8,,Repair a strained relationship,Relationships,OPEN/STALLED
102,197,2023-09-22,RESEARCHED,1.7,,Write a long-overdue message,Relationships,COMPLETED
103,99,2025-05-14,RESEARCHED,2.0,,COLLECT AND ORGANIZE A HOBBY SET,Hobby,OPEN/STALLED
104,233,2023-05-14,CREATED,0.0,,Review and cut subscriptions,Financial,ABANDONED
105,11,2025-07-03,PLANNED,0.0,,CREATE A MONTHLY BUDGET,Financial,OPEN/STALLED
106,71,2024-09-27,CREATED,0.0,,Build a personal dashboard,Side Project,OPEN/STALLED
107,215,2023-06-06,RESEARCHED,0.0,,Research a relocation destination,Travel,OPEN/STALLED
108,11,2025-06-16,RESEARCHED,1.1,,CREATE A MONTHLY BUDGET,Financial,OPEN/STALLED
109,180,2025-04-06,RESEARCHED,1.8,,Learn to use Power BI,Learning & Skills,OPEN/STALLED
110,39,2024-04-24,POSTPONED,0.0,Competing priorities,Start a freelance side gig,Side Project,COMPLETED
111,184,2024-01-22,CREATED,0.0,,Build a personal dashboard,Side Project,OPEN/STALLED
112,105,2023-07-31,CREATED,0.0,,Call an old friend,Relationships,OPEN/STALLED
113,218,2025-05-02,RESEARCHED,0.6,,Start a small garden,Hobby,OPEN/STALLED
114,157,2024-12-25,RESEARCHED,0.0,,Research a relocation destination,Travel,COMPLETED
115,267,2024-06-10,CONTINUED,6.1,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
116,15,2023-11-07,RESEARCHED,2.8,,Create a travel budget,Travel,OPEN/STALLED
117,195,2025-01-06,POSTPONED,0.0,Blocked by dependency,BOOK A LONG-POSTPONED TRIP,Travel,ABANDONED
118,257,2023-08-09,CREATED,0.0,,Learn basic public speaking,Learning & Skills,OPEN/STALLED
119,207,2025-05-29,POSTPONED,0.0,Competing priorities,Collect and organize a hobby set,Hobby,OPEN/STALLED
120,24,2024-11-27,CREATED,0.0,,Build a personal data project,Side Project,OPEN/STALLED
121,111,2023-06-21,RESEARCHED,2.4,,LEARN TO COOK HEALTHIER MEALS,Fitness & Health,COMPLETED
122,2,2023-04-21,RESEARCHED,0.8,,Practice a new software tool weekly,Learning & Skills,ABANDONED
123,251,2023-08-06,CREATED,0.0,,LEARN A CARD OR BOARD GAME DEEPLY,Hobby,OPEN/STALLED
124,267,2024-02-17,RESEARCHED,1.3,,IMPROVE SLEEP SCHEDULE,Fitness & Health,OPEN/STALLED
125,301,2023-04-07,RESEARCHED,0.9,,Improve sleep schedule,Fitness & Health,OPEN/STALLED
